               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.016572,            0.012133,           0.0034113,             0.90364,               0.785,             0.85395,             0.62459,            0.032857,            0.020454,            0.011164,            0.004852,            0.004852,            0.004852
                 106,            0.016638,            0.012351,            0.003326,             0.93055,             0.78962,              0.8642,             0.62204,            0.032832,            0.020175,            0.011426,           0.0048025,           0.0048025,           0.0048025
                 107,            0.016901,            0.012795,           0.0033911,             0.90656,              0.7586,             0.83301,             0.62247,            0.033059,             0.02025,            0.011556,            0.004753,            0.004753,            0.004753
                 108,            0.016799,            0.011826,            0.003377,             0.88812,             0.79609,             0.85412,             0.63366,            0.032574,            0.019709,            0.011329,           0.0047035,           0.0047035,           0.0047035
                 109,             0.01663,            0.011717,            0.003214,              0.8902,             0.78377,             0.84377,             0.63258,            0.033335,            0.020067,            0.012494,            0.004654,            0.004654,            0.004654
                 110,            0.016832,            0.012378,           0.0035571,             0.88686,             0.75787,             0.83026,             0.61141,            0.034299,            0.021792,            0.013598,           0.0046045,           0.0046045,           0.0046045
                 111,             0.01645,            0.012045,           0.0034125,             0.91878,              0.7755,             0.85378,             0.61862,            0.034593,            0.020948,            0.012409,            0.004555,            0.004555,            0.004555
                 112,            0.016919,            0.012219,           0.0033504,             0.91582,             0.78927,             0.86672,             0.62788,            0.033738,            0.020386,            0.011726,           0.0045055,           0.0045055,           0.0045055
                 113,            0.015579,            0.011611,           0.0033398,             0.92762,              0.7656,             0.86029,             0.62706,            0.033434,            0.020294,            0.012374,            0.004456,            0.004456,            0.004456
                 114,            0.016361,            0.011876,           0.0033652,              0.8997,             0.79631,             0.86409,             0.62248,            0.033394,            0.019607,            0.012266,           0.0044065,           0.0044065,           0.0044065
                 115,             0.01537,            0.011532,           0.0033864,             0.88764,             0.79978,             0.87296,             0.62869,            0.033271,            0.020499,            0.013172,            0.004357,            0.004357,            0.004357
                 116,            0.015692,            0.011597,           0.0033847,             0.88619,             0.78624,             0.87111,             0.63072,             0.03348,            0.020601,             0.01328,           0.0043075,           0.0043075,           0.0043075
                 117,            0.015505,            0.011531,           0.0032806,             0.92319,             0.75333,              0.8461,             0.62477,            0.033516,            0.020994,            0.012472,            0.004258,            0.004258,            0.004258
                 118,             0.01531,            0.011551,           0.0032617,             0.93404,             0.74834,             0.84791,             0.61774,            0.033846,             0.02113,            0.012704,           0.0042085,           0.0042085,           0.0042085
                 119,            0.015713,            0.011749,           0.0033875,             0.91379,             0.75043,             0.84834,             0.62818,            0.033352,            0.020478,            0.012712,            0.004159,            0.004159,            0.004159
                 120,            0.015436,            0.011597,           0.0033926,             0.89181,             0.75684,             0.84658,             0.62594,            0.033481,            0.019977,            0.012628,           0.0041095,           0.0041095,           0.0041095
                 121,            0.015498,            0.011519,           0.0033393,             0.91127,             0.77167,             0.86999,             0.62203,            0.034009,            0.020468,            0.012319,             0.00406,             0.00406,             0.00406
                 122,            0.015425,            0.011344,           0.0035847,             0.88163,              0.7611,             0.85098,             0.62421,            0.033678,              0.0206,            0.012837,           0.0040105,           0.0040105,           0.0040105
                 123,            0.015489,            0.011275,           0.0033183,             0.90858,             0.74685,              0.8336,              0.6109,            0.034766,            0.022046,               0.013,            0.003961,            0.003961,            0.003961
                 124,            0.014442,            0.010948,           0.0029826,             0.92427,               0.745,              0.8336,             0.60604,            0.034518,            0.021841,            0.012751,           0.0039115,           0.0039115,           0.0039115
                 125,             0.01513,            0.011126,           0.0030208,             0.92236,                0.75,             0.84198,              0.6078,            0.033988,            0.021305,            0.012868,            0.003862,            0.003862,            0.003862
                 126,            0.014668,            0.010674,           0.0030992,             0.91155,             0.75667,             0.84304,              0.6213,            0.033641,            0.021407,            0.013397,           0.0038125,           0.0038125,           0.0038125
                 127,            0.015384,            0.011528,           0.0033243,             0.90524,             0.77167,             0.84548,             0.61953,            0.033453,            0.020943,              0.0139,            0.003763,            0.003763,            0.003763
                 128,            0.014813,            0.010989,           0.0030932,             0.93419,               0.785,             0.85158,             0.60795,            0.033745,            0.021391,            0.013963,           0.0037135,           0.0037135,           0.0037135
                 129,            0.014411,            0.010704,           0.0032597,             0.91542,                0.78,             0.85255,             0.60814,            0.033413,            0.021441,            0.014407,            0.003664,            0.003664,            0.003664
